localizacao,nivel_urgencia,tipo_situacao,pessoas_envolvidas
"Alameda do Sol, 257, Manaus - AM",Baixo,Incêndio,N/A (Ex: Incêndio)
"Estrada Marechal Deodoro, 760, São Paulo - SP",Médio,Assalto a mão armada,Homem
"Rua Sete de Setembro, 2249, Fortaleza - CE",Médio,Desaparecimento,Criança
"Travessa Sete de Setembro, 1033, Porto Alegre - RS",Alto,Assalto a mão armada,Homem
"Praça Primeiro de Maio, 1557, Goiânia - GO",Baixo,Assalto a mão armada,Grupo de homens
"Avenida Marechal Deodoro, 1399, Belo Horizonte - MG",Alto,Roubo (sem arma),Vítima não identificada
"Estrada Marechal Deodoro, 105, Belo Horizonte - MG",Baixo,Vandalismo,N/A (Ex: Incêndio)
"Travessa Primeiro de Maio, 163, Manaus - AM",Baixo,Acidente de trânsito com vítima,Idoso
"Estrada Duque de Caxias, 240, São Paulo - SP",Alto,Atividade suspeita,Mulher
"Avenida Santa Rita, 1500, Fortaleza - CE",Baixo,Vandalismo,Grupo de homens
"Avenida da Paz, 1984, Belo Horizonte - MG",Médio,Perturbação do sossego,"Família (Homem, Mulher, Criança)"
"Avenida Marechal Deodoro, 85, Salvador - BA",Baixo,Maus tratos a animais,Mulher
"Praça Barão do Rio Branco, 278, Salvador - BA",Alto,Acidente de trânsito sem vítima,Homem
"Avenida Barão do Rio Branco, 787, Porto Alegre - RS",Baixo,Alarme disparado,Vítima não identificada
"Estrada Duque de Caxias, 807, Recife - PE",Alto,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Alameda XV de Novembro, 1095, Recife - PE",Alto,Desaparecimento,Vítima não identificada
"Praça Marechal Deodoro, 1330, Goiânia - GO",Médio,Acidente de trânsito com vítima,N/A (Ex: Incêndio)
"Alameda Duque de Caxias, 1677, Belo Horizonte - MG",Alto,Perturbação do sossego,Múltiplas pessoas
"Praça Barão do Rio Branco, 2013, São Paulo - SP",Baixo,Assalto a mão armada,Homem
"Estrada Duque de Caxias, 2267, Belo Horizonte - MG",Médio,Agressão física,Homem
"Alameda Santos Dumont, 170, Goiânia - GO",Baixo,Roubo (sem arma),Casal
"Avenida Sete de Setembro, 2387, Belo Horizonte - MG",Alto,Desaparecimento,Homem
"Praça Dom Pedro II, 46, São Paulo - SP",Médio,Acidente de trânsito com vítima,Vítima não identificada
"Praça do Sol, 20, Porto Alegre - RS",Médio,Maus tratos a animais,Homem
"Estrada Barão do Rio Branco, 2368, Rio de Janeiro - RJ",Baixo,Briga doméstica,Idoso
"Praça Dom Pedro II, 755, Porto Alegre - RS",Baixo,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Travessa Barão do Rio Branco, 1934, Belo Horizonte - MG",Baixo,Atividade suspeita,"Família (Homem, Mulher, Criança)"
"Travessa das Flores, 1968, Salvador - BA",Baixo,Atividade suspeita,Criança
"Avenida Tiradentes, 145, Brasília - DF",Médio,Acidente de trânsito com vítima,Múltiplas pessoas
"Rua do Sol, 310, Manaus - AM",Baixo,Furto,N/A (Ex: Incêndio)
"Estrada Tiradentes, 2285, Florianópolis - SC",Médio,Vandalismo,Múltiplas pessoas
"Alameda do Sol, 878, Salvador - BA",Baixo,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Praça Brasil, 387, Brasília - DF",Médio,Desaparecimento,Criança
"Praça Marechal Deodoro, 2447, Goiânia - GO",Médio,Assalto a mão armada,Mulher
"Rua Santa Rita, 1364, Porto Alegre - RS",Baixo,Assalto a mão armada,Mulher
"Praça Brasil, 1095, Rio de Janeiro - RJ",Baixo,Atividade suspeita,"Família (Homem, Mulher, Criança)"
"Praça Santa Rita, 488, Salvador - BA",Médio,Roubo (sem arma),N/A (Ex: Incêndio)
"Avenida Santa Rita, 2122, Salvador - BA",Alto,Vandalismo,Mulher
"Avenida da Paz, 1357, Florianópolis - SC",Alto,Roubo (sem arma),Casal
"Rua do Sol, 2375, São Paulo - SP",Médio,Briga doméstica,Mulher
"Praça Duque de Caxias, 1567, Porto Alegre - RS",Médio,Incêndio,Mulher
"Travessa Duque de Caxias, 590, Florianópolis - SC",Médio,Briga doméstica,N/A (Ex: Incêndio)
"Avenida Dom Pedro II, 1948, Recife - PE",Médio,Acidente de trânsito sem vítima,Casal
"Alameda XV de Novembro, 1815, Brasília - DF",Alto,Vandalismo,Múltiplas pessoas
"Avenida Marechal Deodoro, 513, Salvador - BA",Médio,Perturbação do sossego,Grupo de homens
"Travessa Santos Dumont, 357, São Paulo - SP",Médio,Roubo (sem arma),Grupo de homens
"Rua Santa Rita, 1347, Florianópolis - SC",Alto,Vandalismo,Mulher
"Travessa São José, 1899, Goiânia - GO",Baixo,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Praça Santa Rita, 395, Rio de Janeiro - RJ",Alto,Roubo (sem arma),Casal
"Rua Sete de Setembro, 1769, Rio de Janeiro - RJ",Baixo,Vandalismo,"Família (Homem, Mulher, Criança)"
"Estrada do Sol, 1711, Salvador - BA",Médio,Atividade suspeita,Idoso
"Avenida das Flores, 2422, Florianópolis - SC",Baixo,Perturbação do sossego,N/A (Ex: Incêndio)
"Rua Primeiro de Maio, 926, Belo Horizonte - MG",Baixo,Acidente de trânsito sem vítima,Homem
"Travessa Tiradentes, 1167, Manaus - AM",Baixo,Acidente de trânsito sem vítima,Múltiplas pessoas
"Praça do Sol, 2390, Salvador - BA",Médio,Desaparecimento,Idoso
"Estrada das Flores, 398, Brasília - DF",Baixo,Roubo (sem arma),Suspeito(s) em fuga
"Rua Santos Dumont, 787, Florianópolis - SC",Alto,Desaparecimento,Criança
"Alameda Santos Dumont, 2320, Goiânia - GO",Baixo,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Travessa XV de Novembro, 1579, Manaus - AM",Médio,Maus tratos a animais,Criança
"Travessa Santos Dumont, 1037, Belo Horizonte - MG",Baixo,Briga doméstica,N/A (Ex: Incêndio)
"Rua Santos Dumont, 2257, Fortaleza - CE",Médio,Alarme disparado,Criança
"Avenida das Flores, 1013, Curitiba - PR",Baixo,Incêndio,N/A (Ex: Incêndio)
"Avenida da Paz, 623, Salvador - BA",Baixo,Acidente de trânsito sem vítima,N/A (Ex: Incêndio)
"Travessa Santa Rita, 386, Belo Horizonte - MG",Médio,Roubo (sem arma),Idoso
"Travessa Dom Pedro II, 1372, Salvador - BA",Baixo,Vandalismo,Homem
"Rua Brasil, 1796, Brasília - DF",Alto,Desaparecimento,Idoso
"Praça do Sol, 756, São Paulo - SP",Baixo,Atividade suspeita,Suspeito(s) em fuga
"Alameda Barão do Rio Branco, 1808, Fortaleza - CE",Médio,Roubo (sem arma),Mulher
"Travessa Tiradentes, 2167, São Paulo - SP",Baixo,Atividade suspeita,"Família (Homem, Mulher, Criança)"
"Avenida Brasil, 2373, São Paulo - SP",Baixo,Acidente de trânsito sem vítima,Idoso
"Praça Marechal Deodoro, 1319, Recife - PE",Alto,Briga doméstica,Casal
"Alameda Primeiro de Maio, 540, Rio de Janeiro - RJ",Baixo,Maus tratos a animais,N/A (Ex: Incêndio)
"Praça das Flores, 2402, Florianópolis - SC",Baixo,Agressão física,Idoso
"Rua Barão do Rio Branco, 1820, Manaus - AM",Médio,Roubo (sem arma),Criança
"Estrada Duque de Caxias, 222, Goiânia - GO",Médio,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Travessa Santa Rita, 130, Florianópolis - SC",Alto,Perturbação do sossego,Múltiplas pessoas
"Rua Barão do Rio Branco, 2092, Salvador - BA",Médio,Vandalismo,Suspeito(s) em fuga
"Estrada Primeiro de Maio, 1570, Manaus - AM",Baixo,Alarme disparado,Criança
"Alameda Santa Rita, 1521, Recife - PE",Alto,Incêndio,Idoso
"Avenida das Flores, 1775, Porto Alegre - RS",Baixo,Alarme disparado,"Família (Homem, Mulher, Criança)"
"Travessa Barão do Rio Branco, 1398, São Paulo - SP",Médio,Maus tratos a animais,Vítima não identificada
"Estrada da República, 671, Fortaleza - CE",Baixo,Perturbação do sossego,Mulher
"Alameda Tiradentes, 814, Rio de Janeiro - RJ",Médio,Agressão física,Grupo de homens
"Estrada São José, 325, Recife - PE",Baixo,Briga doméstica,Idoso
"Rua Duque de Caxias, 1113, Fortaleza - CE",Médio,Assalto a mão armada,Múltiplas pessoas
"Alameda Santos Dumont, 898, Florianópolis - SC",Baixo,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Praça Brasil, 792, Porto Alegre - RS",Médio,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Travessa Tiradentes, 588, Belo Horizonte - MG",Baixo,Briga doméstica,Múltiplas pessoas
"Avenida da Paz, 1198, Manaus - AM",Alto,Vandalismo,Mulher
"Rua Dom Pedro II, 1084, Brasília - DF",Baixo,Desaparecimento,Casal
"Avenida Brasil, 1352, Porto Alegre - RS",Médio,Acidente de trânsito sem vítima,Homem
"Estrada Primeiro de Maio, 1421, Brasília - DF",Médio,Vandalismo,Idoso
"Travessa Primeiro de Maio, 1582, Goiânia - GO",Baixo,Maus tratos a animais,Suspeito(s) em fuga
"Avenida São José, 937, Salvador - BA",Baixo,Roubo (sem arma),Homem
"Avenida Dom Pedro II, 2448, Salvador - BA",Médio,Furto,Mulher
"Avenida Tiradentes, 2273, Porto Alegre - RS",Alto,Perturbação do sossego,Casal
"Alameda Duque de Caxias, 222, Florianópolis - SC",Alto,Agressão física,N/A (Ex: Incêndio)
"Praça São José, 1110, Curitiba - PR",Alto,Atividade suspeita,Vítima não identificada
"Alameda Santa Rita, 1973, Fortaleza - CE",Baixo,Desaparecimento,Múltiplas pessoas
"Rua Barão do Rio Branco, 2233, São Paulo - SP",Baixo,Vandalismo,Múltiplas pessoas
"Praça XV de Novembro, 652, Rio de Janeiro - RJ",Baixo,Alarme disparado,Grupo de homens
"Alameda XV de Novembro, 975, Florianópolis - SC",Baixo,Acidente de trânsito sem vítima,Criança
"Travessa XV de Novembro, 678, Belo Horizonte - MG",Baixo,Briga doméstica,Mulher
"Avenida Primeiro de Maio, 1269, Recife - PE",Médio,Acidente de trânsito sem vítima,Grupo de homens
"Alameda Sete de Setembro, 1954, Florianópolis - SC",Baixo,Acidente de trânsito sem vítima,Homem
"Praça Dom Pedro II, 1793, Recife - PE",Alto,Furto,"Família (Homem, Mulher, Criança)"
"Estrada Marechal Deodoro, 293, Salvador - BA",Médio,Acidente de trânsito sem vítima,Mulher
"Travessa Duque de Caxias, 1994, Curitiba - PR",Baixo,Briga doméstica,Mulher
"Rua Tiradentes, 961, Belo Horizonte - MG",Médio,Vandalismo,Múltiplas pessoas
"Praça Sete de Setembro, 2228, Porto Alegre - RS",Baixo,Alarme disparado,Criança
"Praça Santos Dumont, 2035, Porto Alegre - RS",Médio,Acidente de trânsito com vítima,Idoso
"Alameda Brasil, 2111, Salvador - BA",Médio,Incêndio,Criança
"Travessa Barão do Rio Branco, 99, Salvador - BA",Baixo,Acidente de trânsito sem vítima,Casal
"Praça da República, 2410, Recife - PE",Médio,Vandalismo,Criança
"Alameda Santos Dumont, 2062, Belo Horizonte - MG",Médio,Acidente de trânsito com vítima,Vítima não identificada
"Alameda das Flores, 1044, Brasília - DF",Baixo,Incêndio,"Família (Homem, Mulher, Criança)"
"Travessa Santa Rita, 393, São Paulo - SP",Médio,Briga doméstica,Idoso
"Estrada São José, 674, Salvador - BA",Médio,Vandalismo,Criança
"Travessa Barão do Rio Branco, 1795, Fortaleza - CE",Médio,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Alameda da República, 283, Fortaleza - CE",Médio,Roubo (sem arma),Múltiplas pessoas
"Rua do Sol, 868, Goiânia - GO",Médio,Agressão física,Mulher
"Travessa do Sol, 1538, Curitiba - PR",Alto,Perturbação do sossego,Criança
"Praça Brasil, 1303, Salvador - BA",Médio,Incêndio,N/A (Ex: Incêndio)
"Estrada da Paz, 2482, Rio de Janeiro - RJ",Médio,Acidente de trânsito com vítima,Idoso
"Avenida São José, 716, Belo Horizonte - MG",Baixo,Acidente de trânsito com vítima,Grupo de homens
"Travessa Brasil, 1526, Rio de Janeiro - RJ",Baixo,Furto,Múltiplas pessoas
"Praça Brasil, 1557, Fortaleza - CE",Médio,Roubo (sem arma),Múltiplas pessoas
"Avenida Brasil, 1335, Belo Horizonte - MG",Baixo,Acidente de trânsito sem vítima,Criança
"Avenida Dom Pedro II, 473, Belo Horizonte - MG",Médio,Roubo (sem arma),Suspeito(s) em fuga
"Alameda Duque de Caxias, 1680, Belo Horizonte - MG",Médio,Acidente de trânsito com vítima,Casal
"Rua do Sol, 2364, São Paulo - SP",Baixo,Briga doméstica,Múltiplas pessoas
"Rua Primeiro de Maio, 2135, Fortaleza - CE",Médio,Acidente de trânsito sem vítima,Idoso
"Estrada Primeiro de Maio, 443, Brasília - DF",Médio,Incêndio,Criança
"Avenida Duque de Caxias, 30, Rio de Janeiro - RJ",Médio,Roubo (sem arma),N/A (Ex: Incêndio)
"Avenida Sete de Setembro, 719, São Paulo - SP",Médio,Perturbação do sossego,Idoso
"Travessa Tiradentes, 2137, Salvador - BA",Baixo,Roubo (sem arma),Homem
"Praça da República, 955, Goiânia - GO",Baixo,Briga doméstica,Vítima não identificada
"Alameda Primeiro de Maio, 1931, Salvador - BA",Baixo,Vandalismo,Múltiplas pessoas
"Avenida do Sol, 270, Goiânia - GO",Baixo,Alarme disparado,N/A (Ex: Incêndio)
"Avenida Primeiro de Maio, 1274, Brasília - DF",Médio,Maus tratos a animais,Suspeito(s) em fuga
"Rua Barão do Rio Branco, 770, Manaus - AM",Baixo,Acidente de trânsito sem vítima,Criança
"Rua Sete de Setembro, 21, Salvador - BA",Baixo,Acidente de trânsito sem vítima,Homem
"Estrada Primeiro de Maio, 1327, Florianópolis - SC",Alto,Roubo (sem arma),N/A (Ex: Incêndio)
"Avenida Tiradentes, 542, São Paulo - SP",Baixo,Vandalismo,"Família (Homem, Mulher, Criança)"
"Estrada da Paz, 949, Belo Horizonte - MG",Baixo,Roubo (sem arma),N/A (Ex: Incêndio)
"Estrada XV de Novembro, 360, Curitiba - PR",Médio,Alarme disparado,N/A (Ex: Incêndio)
"Travessa Duque de Caxias, 1306, Florianópolis - SC",Alto,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Travessa São José, 1392, Salvador - BA",Médio,Desaparecimento,Vítima não identificada
"Alameda Sete de Setembro, 1281, Recife - PE",Médio,Incêndio,Criança
"Rua Brasil, 902, Brasília - DF",Baixo,Vandalismo,Suspeito(s) em fuga
"Rua Barão do Rio Branco, 2181, Belo Horizonte - MG",Alto,Maus tratos a animais,Grupo de homens
"Rua Brasil, 2339, Manaus - AM",Baixo,Desaparecimento,Grupo de homens
"Praça Duque de Caxias, 391, Florianópolis - SC",Baixo,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Avenida Santos Dumont, 1800, Salvador - BA",Médio,Maus tratos a animais,Criança
"Praça Tiradentes, 1519, Manaus - AM",Alto,Briga doméstica,Idoso
"Alameda Sete de Setembro, 1429, Salvador - BA",Médio,Desaparecimento,Mulher
"Travessa Brasil, 1762, Rio de Janeiro - RJ",Baixo,Roubo (sem arma),Mulher
"Avenida XV de Novembro, 1087, Rio de Janeiro - RJ",Baixo,Atividade suspeita,Vítima não identificada
"Travessa das Flores, 1584, Porto Alegre - RS",Baixo,Desaparecimento,Idoso
"Alameda Tiradentes, 2054, Manaus - AM",Médio,Desaparecimento,Mulher
"Praça do Sol, 341, Goiânia - GO",Baixo,Acidente de trânsito com vítima,N/A (Ex: Incêndio)
"Estrada Duque de Caxias, 360, Belo Horizonte - MG",Médio,Briga doméstica,Grupo de homens
"Travessa Santos Dumont, 392, Rio de Janeiro - RJ",Baixo,Alarme disparado,N/A (Ex: Incêndio)
"Alameda XV de Novembro, 1298, Florianópolis - SC",Alto,Desaparecimento,N/A (Ex: Incêndio)
"Praça Sete de Setembro, 899, Fortaleza - CE",Alto,Desaparecimento,Múltiplas pessoas
"Alameda da Paz, 256, Salvador - BA",Médio,Maus tratos a animais,Mulher
"Rua Santos Dumont, 1774, Belo Horizonte - MG",Baixo,Roubo (sem arma),Grupo de homens
"Praça Tiradentes, 981, São Paulo - SP",Alto,Atividade suspeita,Mulher
"Rua Santa Rita, 119, Brasília - DF",Médio,Alarme disparado,Criança
"Alameda Barão do Rio Branco, 314, Goiânia - GO",Baixo,Perturbação do sossego,"Família (Homem, Mulher, Criança)"
"Travessa Brasil, 124, Manaus - AM",Baixo,Perturbação do sossego,Grupo de homens
"Estrada Barão do Rio Branco, 2147, Brasília - DF",Baixo,Assalto a mão armada,Múltiplas pessoas
"Avenida Duque de Caxias, 1280, Florianópolis - SC",Médio,Vandalismo,Múltiplas pessoas
"Rua Santos Dumont, 913, São Paulo - SP",Médio,Agressão física,Grupo de homens
"Travessa Barão do Rio Branco, 1091, Recife - PE",Alto,Alarme disparado,Homem
"Praça XV de Novembro, 2328, Brasília - DF",Médio,Perturbação do sossego,Homem
"Avenida São José, 237, Florianópolis - SC",Baixo,Incêndio,Criança
"Travessa Marechal Deodoro, 1234, Brasília - DF",Baixo,Furto,"Família (Homem, Mulher, Criança)"
"Alameda do Sol, 1188, Recife - PE",Baixo,Perturbação do sossego,Idoso
"Alameda Tiradentes, 562, Rio de Janeiro - RJ",Médio,Agressão física,Suspeito(s) em fuga
"Praça Duque de Caxias, 1485, São Paulo - SP",Alto,Desaparecimento,Múltiplas pessoas
"Estrada Brasil, 1123, Porto Alegre - RS",Médio,Acidente de trânsito sem vítima,N/A (Ex: Incêndio)
"Praça da Paz, 1008, Porto Alegre - RS",Médio,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Estrada Duque de Caxias, 2269, Rio de Janeiro - RJ",Alto,Furto,Casal
"Alameda São José, 2446, Florianópolis - SC",Alto,Acidente de trânsito sem vítima,Idoso
"Travessa Duque de Caxias, 1990, Goiânia - GO",Médio,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Avenida Primeiro de Maio, 1673, Manaus - AM",Médio,Acidente de trânsito com vítima,Criança
"Praça das Flores, 1664, Florianópolis - SC",Alto,Desaparecimento,Mulher
"Estrada São José, 654, Fortaleza - CE",Alto,Maus tratos a animais,Casal
"Praça Santos Dumont, 1061, Belo Horizonte - MG",Médio,Vandalismo,Mulher
"Praça Santa Rita, 218, Florianópolis - SC",Médio,Maus tratos a animais,Grupo de homens
"Alameda do Sol, 545, Fortaleza - CE",Baixo,Assalto a mão armada,Casal
"Travessa Dom Pedro II, 2339, Curitiba - PR",Baixo,Roubo (sem arma),Casal
"Estrada São José, 1845, Fortaleza - CE",Médio,Alarme disparado,Homem
"Rua São José, 1277, Manaus - AM",Médio,Furto,Homem
"Alameda das Flores, 1308, Recife - PE",Baixo,Acidente de trânsito sem vítima,Homem
"Travessa das Flores, 2362, Brasília - DF",Baixo,Furto,Homem
"Praça Brasil, 469, Recife - PE",Médio,Atividade suspeita,Vítima não identificada
"Estrada Brasil, 276, Belo Horizonte - MG",Médio,Alarme disparado,Criança
"Travessa São José, 555, Fortaleza - CE",Médio,Incêndio,Múltiplas pessoas
"Praça Santa Rita, 812, Salvador - BA",Médio,Assalto a mão armada,Grupo de homens
"Praça Santos Dumont, 1189, Curitiba - PR",Baixo,Assalto a mão armada,Vítima não identificada
"Estrada Primeiro de Maio, 2399, Porto Alegre - RS",Baixo,Desaparecimento,Idoso
"Estrada Primeiro de Maio, 2208, Brasília - DF",Alto,Atividade suspeita,Grupo de homens
"Alameda Santos Dumont, 1345, Manaus - AM",Alto,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Estrada Santos Dumont, 773, Belo Horizonte - MG",Baixo,Roubo (sem arma),Casal
"Estrada Primeiro de Maio, 176, Curitiba - PR",Baixo,Maus tratos a animais,Vítima não identificada
"Praça Duque de Caxias, 82, Rio de Janeiro - RJ",Alto,Briga doméstica,N/A (Ex: Incêndio)
"Praça Dom Pedro II, 733, Goiânia - GO",Baixo,Perturbação do sossego,Vítima não identificada
"Praça Marechal Deodoro, 2197, Brasília - DF",Baixo,Acidente de trânsito com vítima,Vítima não identificada
"Avenida da Paz, 1017, Manaus - AM",Baixo,Perturbação do sossego,Grupo de homens
"Praça XV de Novembro, 1945, Curitiba - PR",Baixo,Briga doméstica,Criança
"Avenida Dom Pedro II, 639, Manaus - AM",Baixo,Briga doméstica,Idoso
"Praça Marechal Deodoro, 1328, Florianópolis - SC",Baixo,Alarme disparado,Suspeito(s) em fuga
"Avenida Barão do Rio Branco, 1407, São Paulo - SP",Alto,Assalto a mão armada,Grupo de homens
"Estrada Barão do Rio Branco, 2146, Manaus - AM",Baixo,Furto,Casal
"Avenida do Sol, 1489, Salvador - BA",Médio,Roubo (sem arma),"Família (Homem, Mulher, Criança)"
"Estrada Tiradentes, 1285, São Paulo - SP",Baixo,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
"Praça Santa Rita, 1507, Florianópolis - SC",Médio,Maus tratos a animais,Grupo de homens
"Rua Santos Dumont, 2331, Salvador - BA",Baixo,Acidente de trânsito sem vítima,Criança
"Travessa Barão do Rio Branco, 2302, Recife - PE",Baixo,Perturbação do sossego,Grupo de homens
"Estrada Primeiro de Maio, 1470, Salvador - BA",Alto,Briga doméstica,Múltiplas pessoas
"Estrada Tiradentes, 1003, Porto Alegre - RS",Alto,Atividade suspeita,N/A (Ex: Incêndio)
"Alameda da República, 1323, Florianópolis - SC",Alto,Perturbação do sossego,Grupo de homens
"Estrada das Flores, 1593, Fortaleza - CE",Baixo,Atividade suspeita,Casal
"Rua da República, 936, Curitiba - PR",Médio,Perturbação do sossego,Idoso
"Praça XV de Novembro, 314, Salvador - BA",Baixo,Furto,Grupo de homens
"Travessa São José, 17, Goiânia - GO",Baixo,Assalto a mão armada,Homem
"Estrada XV de Novembro, 1367, Belo Horizonte - MG",Médio,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Rua Duque de Caxias, 1720, Manaus - AM",Médio,Alarme disparado,Grupo de homens
"Travessa XV de Novembro, 736, Belo Horizonte - MG",Baixo,Briga doméstica,N/A (Ex: Incêndio)
"Avenida da Paz, 988, Salvador - BA",Médio,Atividade suspeita,Vítima não identificada
"Praça Tiradentes, 661, Goiânia - GO",Baixo,Vandalismo,N/A (Ex: Incêndio)
"Praça Duque de Caxias, 1973, Rio de Janeiro - RJ",Médio,Alarme disparado,Casal
"Avenida São José, 407, Fortaleza - CE",Baixo,Vandalismo,Casal
"Praça Dom Pedro II, 1410, Brasília - DF",Médio,Acidente de trânsito com vítima,Casal
"Alameda da República, 461, Florianópolis - SC",Médio,Alarme disparado,Múltiplas pessoas
"Praça XV de Novembro, 546, Florianópolis - SC",Médio,Acidente de trânsito com vítima,Idoso
"Travessa Brasil, 1371, Goiânia - GO",Médio,Perturbação do sossego,N/A (Ex: Incêndio)
"Travessa do Sol, 134, Porto Alegre - RS",Alto,Incêndio,N/A (Ex: Incêndio)
"Alameda da Paz, 1227, Goiânia - GO",Baixo,Incêndio,Mulher
"Avenida XV de Novembro, 217, São Paulo - SP",Alto,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Praça da Paz, 1200, São Paulo - SP",Médio,Atividade suspeita,Idoso
"Rua Duque de Caxias, 1368, Belo Horizonte - MG",Baixo,Roubo (sem arma),Grupo de homens
"Alameda Tiradentes, 1494, São Paulo - SP",Alto,Perturbação do sossego,Vítima não identificada
"Avenida São José, 998, Fortaleza - CE",Médio,Briga doméstica,Grupo de homens
"Praça XV de Novembro, 1116, Goiânia - GO",Baixo,Assalto a mão armada,Grupo de homens
"Estrada Primeiro de Maio, 1881, Manaus - AM",Baixo,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Avenida São José, 1986, Rio de Janeiro - RJ",Baixo,Atividade suspeita,Homem
"Rua Duque de Caxias, 2290, Florianópolis - SC",Baixo,Assalto a mão armada,Grupo de homens
"Avenida Barão do Rio Branco, 1391, Curitiba - PR",Médio,Vandalismo,Idoso
"Avenida Duque de Caxias, 2286, Salvador - BA",Médio,Furto,Vítima não identificada
"Praça Sete de Setembro, 158, Porto Alegre - RS",Baixo,Briga doméstica,Vítima não identificada
"Travessa Sete de Setembro, 190, Florianópolis - SC",Médio,Roubo (sem arma),Idoso
"Travessa Marechal Deodoro, 1474, Salvador - BA",Baixo,Incêndio,Idoso
"Travessa das Flores, 2184, Curitiba - PR",Baixo,Agressão física,Grupo de homens
"Estrada Dom Pedro II, 824, Recife - PE",Médio,Vandalismo,"Família (Homem, Mulher, Criança)"
"Praça Marechal Deodoro, 1530, São Paulo - SP",Alto,Agressão física,Casal
"Estrada São José, 1603, Florianópolis - SC",Baixo,Alarme disparado,"Família (Homem, Mulher, Criança)"
"Travessa Santos Dumont, 1818, Brasília - DF",Alto,Briga doméstica,Idoso
"Estrada Dom Pedro II, 1088, Curitiba - PR",Alto,Agressão física,Homem
"Praça Sete de Setembro, 1058, Fortaleza - CE",Baixo,Vandalismo,Criança
"Travessa São José, 1164, Florianópolis - SC",Médio,Agressão física,Mulher
"Estrada Marechal Deodoro, 1844, Brasília - DF",Baixo,Roubo (sem arma),Vítima não identificada
"Alameda Dom Pedro II, 1493, Curitiba - PR",Baixo,Briga doméstica,Criança
"Estrada Sete de Setembro, 560, Fortaleza - CE",Médio,Alarme disparado,Vítima não identificada
"Praça Primeiro de Maio, 519, Curitiba - PR",Médio,Incêndio,N/A (Ex: Incêndio)
"Alameda Sete de Setembro, 557, Curitiba - PR",Alto,Maus tratos a animais,Grupo de homens
"Praça Sete de Setembro, 637, Brasília - DF",Baixo,Alarme disparado,N/A (Ex: Incêndio)
"Alameda Brasil, 34, Manaus - AM",Baixo,Roubo (sem arma),Homem
"Praça Marechal Deodoro, 1308, Rio de Janeiro - RJ",Baixo,Agressão física,"Família (Homem, Mulher, Criança)"
"Estrada Primeiro de Maio, 1298, Goiânia - GO",Baixo,Assalto a mão armada,Homem
"Praça Santos Dumont, 2276, Recife - PE",Médio,Atividade suspeita,Homem
"Praça do Sol, 512, Belo Horizonte - MG",Alto,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Estrada Santa Rita, 162, Recife - PE",Alto,Furto,Mulher
"Alameda Marechal Deodoro, 2419, Florianópolis - SC",Alto,Roubo (sem arma),Mulher
"Estrada do Sol, 332, Curitiba - PR",Médio,Acidente de trânsito com vítima,Vítima não identificada
"Praça XV de Novembro, 698, São Paulo - SP",Baixo,Acidente de trânsito com vítima,Criança
"Alameda da Paz, 588, Porto Alegre - RS",Médio,Vandalismo,N/A (Ex: Incêndio)
"Travessa Santa Rita, 414, Recife - PE",Médio,Roubo (sem arma),Vítima não identificada
"Alameda Dom Pedro II, 2475, Rio de Janeiro - RJ",Baixo,Incêndio,Grupo de homens
"Travessa Duque de Caxias, 2248, Belo Horizonte - MG",Baixo,Desaparecimento,Homem
"Avenida das Flores, 517, Rio de Janeiro - RJ",Médio,Roubo (sem arma),"Família (Homem, Mulher, Criança)"
"Travessa São José, 2372, Manaus - AM",Baixo,Atividade suspeita,Idoso
"Estrada Brasil, 670, Goiânia - GO",Baixo,Assalto a mão armada,Grupo de homens
"Avenida XV de Novembro, 1410, Salvador - BA",Médio,Atividade suspeita,Idoso
"Avenida Marechal Deodoro, 1265, Manaus - AM",Alto,Roubo (sem arma),Mulher
"Avenida da Paz, 598, Recife - PE",Médio,Alarme disparado,"Família (Homem, Mulher, Criança)"
"Travessa São José, 1427, Rio de Janeiro - RJ",Médio,Vandalismo,Casal
"Avenida Dom Pedro II, 2220, Goiânia - GO",Alto,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Estrada XV de Novembro, 1986, Goiânia - GO",Baixo,Roubo (sem arma),Vítima não identificada
"Estrada Tiradentes, 2423, Curitiba - PR",Alto,Furto,"Família (Homem, Mulher, Criança)"
